================================================================================
CUMULATIVE TIME (includes subcalls)
================================================================================
         4485398 function calls (4479293 primitive calls) in 9.500 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.004    0.000    0.156    0.004 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/scipy/sparse/_coo.py:30(__init__)
       42    0.139    0.003    0.139    0.003 {method 'nonzero' of 'numpy.ndarray' objects}
     1012    0.008    0.000    0.112    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/extending.py:137(decorate)
       85    0.002    0.000    0.112    0.001 <frozen importlib._bootstrap_external>:1066(get_code)
     5263    0.105    0.000    0.105    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.001    0.001    0.104    0.104 /Users/jeff/experiments/network_flow_solver/src/network_solver/simplex.py:99(__init__)
     3791    0.097    0.000    0.097    0.000 {built-in method numpy.array}
      248    0.000    0.000    0.082    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/entrypoints.py:11(init_all)
        1    0.000    0.000    0.082    0.082 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/dispatcher.py:237(_compilation_chain_init_hook)
        1    0.000    0.000    0.081    0.081 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/cpython/charseq.py:1(<module>)
        1    0.000    0.000    0.081    0.081 /usr/local/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/metadata/__init__.py:901(entry_points)
      128    0.000    0.000    0.080    0.001 /usr/local/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/metadata/__init__.py:910(<genexpr>)
     1204    0.074    0.000    0.074    0.000 /Users/jeff/experiments/network_flow_solver/src/network_solver/simplex.py:427(_sync_node_potentials)
     1205    0.071    0.000    0.072    0.000 /Users/jeff/experiments/network_flow_solver/src/network_solver/simplex.py:483(_compute_residuals_vectorized)
     1012    0.022    0.000    0.072    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/typing/templates.py:887(make_overload_template)
     1235    0.070    0.000    0.071    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/typing/templates.py:1258(register_global)
      247    0.001    0.000    0.069    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/compiler_lock.py:32(_acquire_compile_lock)
        1    0.000    0.000    0.068    0.068 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/typing/cmathdecl.py:1(<module>)
       85    0.001    0.000    0.068    0.001 <frozen importlib._bootstrap_external>:1187(get_data)
    20787    0.015    0.000    0.067    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/typing/templates.py:1322(new_registrations)
        3    0.000    0.000    0.065    0.022 /Users/jeff/experiments/network_flow_solver/src/network_solver/simplex.py:700(_rebuild_tree_structure)
        1    0.001    0.001    0.063    0.063 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/cpython/unicode.py:1(<module>)
     1976    0.011    0.000    0.062    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/base.py:352(install_registry)
     1323    0.007    0.000    0.061    0.000 <frozen abc>:105(__new__)
       85    0.060    0.001    0.060    0.001 {built-in method _io.open_code}
      247    0.000    0.000    0.058    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/runtime/nrt.py:19(initialize)
        1    0.000    0.000    0.057    0.057 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/runtime/nrtdynmod.py:205(compile_nrt_functions)
      127    0.000    0.000    0.056    0.000 /usr/local/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/metadata/__init__.py:469(entry_points)
        1    0.000    0.000    0.055    0.055 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/typing/cffi_utils.py:1(<module>)
18532/18520    0.012    0.000    0.054    0.000 {built-in method builtins.next}
13884/13682    0.007    0.000    0.054    0.000 {built-in method builtins.hasattr}
      239    0.003    0.000    0.051    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/extending.py:215(decorate)
  397/396    0.038    0.000    0.051    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/llvmlite/binding/ffi.py:195(__call__)
     2519    0.007    0.000    0.050    0.000 {method 'max' of 'numpy.ndarray' objects}
1867/1865    0.009    0.000    0.047    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/types/abstract.py:61(__call__)
      7/5    0.000    0.000    0.047    0.009 /usr/local/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/__init__.py:73(import_module)
      5/3    0.000    0.000    0.047    0.016 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/typed/__init__.py:10(__getattr__)
      7/5    0.000    0.000    0.047    0.009 <frozen importlib._bootstrap>:1375(_gcd_import)
2249/2210    0.045    0.000    0.047    0.000 {built-in method __new__ of type object at 0x10c7bc360}
      127    0.002    0.000    0.046    0.000 /usr/local/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/metadata/__init__.py:811(read_text)
        1    0.000    0.000    0.046    0.046 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/cffi/api.py:41(__init__)
     2519    0.005    0.000    0.042    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numpy/_core/_methods.py:41(_amax)
      127    0.001    0.000    0.042    0.000 /usr/local/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:1022(read_text)
    16549    0.019    0.000    0.041    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/utils.py:475(stream_list)
      130    0.031    0.000    0.039    0.000 {built-in method _io.open}
      127    0.000    0.000    0.038    0.000 /usr/local/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:1005(open)
     1205    0.007    0.000    0.037    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2477(any)
       85    0.004    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
      311    0.002    0.000    0.036    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/extending.py:165(wrap)
      311    0.001    0.000    0.034    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/extending.py:148(register_jitable)
        1    0.000    0.000    0.034    0.034 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/cffi/cparser.py:1(<module>)
     2410    0.010    0.000    0.034    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:1250(argmax)
       85    0.033    0.000    0.033    0.000 {built-in method marshal.loads}
     1256    0.012    0.000    0.032    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:89(_wrapreduction_any_all)
        1    0.000    0.000    0.031    0.031 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/codegen.py:746(finalize)
        1    0.000    0.000    0.031    0.031 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/cpython/hashing.py:1(<module>)
     1225    0.031    0.000    0.031    0.000 {method 'copy' of 'numpy.ndarray' objects}
     4895    0.030    0.000    0.030    0.000 {built-in method numpy.zeros}
        1    0.016    0.016    0.030    0.030 /Users/jeff/experiments/network_flow_solver/src/network_solver/simplex.py:361(_build_arcs)
     1287    0.006    0.000    0.029    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2338(sum)
        1    0.001    0.001    0.027    0.027 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/np/arraymath.py:1(<module>)
        1    0.000    0.000    0.026    0.026 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/inline_closurecall.py:1(<module>)
        1    0.000    0.000    0.024    0.024 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/np/npdatetime.py:1(<module>)
       42    0.001    0.000    0.024    0.001 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/scipy/sparse/linalg/_dsolve/linsolve.py:329(splu)
        2    0.000    0.000    0.024    0.012 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/codegen.py:788(_finalize_final_module)
      128    0.001    0.000    0.024    0.000 /usr/local/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/metadata/_itertools.py:4(unique_everseen)
      470    0.008    0.000    0.024    0.000 {built-in method builtins.__build_class__}
     2410    0.006    0.000    0.023    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
    10652    0.019    0.000    0.023    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.023    0.023 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/typed/typedlist.py:1(<module>)
     1287    0.007    0.000    0.022    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
     2380    0.012    0.000    0.021    0.000 /Users/jeff/experiments/network_flow_solver/src/network_solver/basis.py:203(_column_vector)
       87    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.021    0.021 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/pycparser/__init__.py:1(<module>)
       42    0.021    0.000    0.021    0.000 {built-in method scipy.sparse.linalg._dsolve._superlu.gstrf}
       88    0.002    0.000    0.021    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.021    0.021 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/np/npyfuncs.py:1(<module>)
        1    0.001    0.001    0.021    0.021 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/cpython/randomimpl.py:1(<module>)
        2    0.000    0.000    0.020    0.010 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/codegen.py:1003(_finalize_specific)
    11867    0.012    0.000    0.020    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.019    0.019 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/typed/typeddict.py:1(<module>)
     1878    0.006    0.000    0.019    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/types/abstract.py:49(_intern)
        1    0.000    0.000    0.019    0.019 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/np/random/generator_methods.py:1(<module>)
        1    0.000    0.000    0.019    0.019 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/codegen.py:730(add_ir_module)
        1    0.000    0.000    0.019    0.019 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/pycparser/c_parser.py:1(<module>)
        5    0.000    0.000    0.018    0.004 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/codegen.py:1065(wrapper)
        2    0.000    0.000    0.018    0.009 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/llvmlite/binding/executionengine.py:94(finalize_object)
    24419    0.018    0.000    0.018    0.000 {built-in method builtins.getattr}
    16549    0.012    0.000    0.017    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/utils.py:484(sublist_iterator)
        1    0.001    0.001    0.017    0.017 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/np/arrayobj.py:1(<module>)
    10839    0.017    0.000    0.017    0.000 {built-in method numpy.empty}
     8459    0.017    0.000    0.017    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       88    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
       88    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
     1561    0.013    0.000    0.017    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/types/functions.py:248(__init__)
      239    0.001    0.000    0.016    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/typing/templates.py:1188(make_overload_method_template)
     1976    0.004    0.000    0.016    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/base.py:368(insert_func_defn)
        2    0.000    0.000    0.016    0.008 <frozen importlib._bootstrap_external>:1291(create_module)
        2    0.016    0.008    0.016    0.008 {built-in method _imp.create_dynamic}
      246    0.013    0.000    0.016    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/typing/templates.py:1166(make_overload_attribute_template)
      109    0.000    0.000    0.015    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/extending.py:407(intrinsic)
      109    0.001    0.000    0.015    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/extending.py:444(_intrinsic)
      103    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
        1    0.001    0.001    0.015    0.015 /Users/jeff/experiments/network_flow_solver/src/network_solver/specializations.py:60(analyze_network_structure)
     2410    0.015    0.000    0.015    0.000 {method 'argmax' of 'numpy.ndarray' objects}
        1    0.004    0.004    0.014    0.014 /Users/jeff/experiments/network_flow_solver/src/network_solver/simplex.py:588(_initialize_tree)
        1    0.000    0.000    0.014    0.014 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/codegen.py:739(add_llvm_module)
       10    0.000    0.000    0.014    0.001 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/llvmlite/binding/newpassmanagers.py:120(run)
     2469    0.005    0.000    0.014    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/target_extension.py:53(get_local_target)
       38    0.000    0.000    0.014    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/decorators.py:241(njit)
        1    0.000    0.000    0.014    0.014 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/codegen.py:651(_optimize_functions)
       38    0.001    0.000    0.014    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/decorators.py:27(jit)
    23997    0.010    0.000    0.013    0.000 {built-in method builtins.isinstance}
31971/31872    0.013    0.000    0.013    0.000 {built-in method builtins.len}
      129    0.006    0.000    0.012    0.000 /usr/local/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/metadata/__init__.py:347(__new__)
    32395    0.012    0.000    0.012    0.000 {built-in method builtins.abs}
       38    0.000    0.000    0.012    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/decorators.py:204(wrapper)
      109    0.001    0.000    0.012    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/extending.py:361(_register)
        1    0.000    0.000    0.012    0.012 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/cpython/listobj.py:1(<module>)
        1    0.000    0.000    0.012    0.012 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/typed/dictobject.py:1(<module>)
       38    0.001    0.000    0.012    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/dispatcher.py:757(__init__)
      147    0.001    0.000    0.012    0.000 /usr/local/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/__init__.py:280(_compile)
    35314    0.011    0.000    0.011    0.000 {built-in method math.isinf}
       17    0.000    0.000    0.011    0.001 /usr/local/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/__init__.py:226(compile)
        1    0.000    0.000    0.011    0.011 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/np/math/cmathimpl.py:1(<module>)
        1    0.000    0.000    0.011    0.011 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/caching.py:724(_load_overload)
     1323    0.010    0.000    0.010    0.000 {built-in method _abc._abc_init}
       17    0.000    0.000    0.010    0.001 /usr/local/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_compiler.py:745(compile)
    11230    0.010    0.000    0.010    0.000 {built-in method numpy.asarray}
      325    0.001    0.000    0.010    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/types/functions.py:269(augment)
     1976    0.001    0.000    0.009    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/base.py:372(_insert_getattr_defn)
      129    0.001    0.000    0.009    0.000 /usr/local/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/metadata/__init__.py:826(_normalized_name)
     1012    0.008    0.000    0.009    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/extending.py:63(overload)
        2    0.003    0.002    0.009    0.005 /Users/jeff/experiments/network_flow_solver/src/network_solver/simplex.py:403(_build_vectorized_arrays)
     1976    0.001    0.000    0.009    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/base.py:376(_insert_setattr_defn)
     4561    0.004    0.000    0.009    0.000 {built-in method builtins.issubclass}
     1976    0.001    0.000    0.009    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/base.py:380(_insert_cast_defn)
        1    0.000    0.000    0.009    0.009 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/typed/listobject.py:1(<module>)
      127    0.001    0.000    0.009    0.000 /usr/local/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/metadata/__init__.py:310(_from_text_for)
     1976    0.001    0.000    0.009    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/base.py:384(_insert_get_constant_defn)
        1    0.000    0.000    0.009    0.009 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/cpython/setobj.py:1(<module>)
      127    0.000    0.000    0.008    0.000 /usr/local/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:447(__fspath__)
      645    0.002    0.000    0.008    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/event.py:404(end_event)
      256    0.001    0.000    0.008    0.000 /usr/local/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:437(__str__)
        1    0.005    0.005    0.008    0.008 /Users/jeff/experiments/network_flow_solver/src/network_solver/specializations.py:129(_check_bipartite)
        1    0.000    0.000    0.008    0.008 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/caching.py:477(rebuild)
      645    0.002    0.000    0.008    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/event.py:390(start_event)
